,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
306,westport,90,US,1580954456,48,41.14,-73.36,278.15,2.1
307,santa helena,100,BR,1580954457,97,-2.23,-45.3,296.02,0.68
308,yar-sale,100,RU,1580954458,96,66.83,70.83,272.0,7.3
309,hovd,100,RU,1580954458,96,66.83,70.83,272.0,7.3
310,boende,18,CD,1580954458,82,-0.22,20.87,295.17,1.11
311,brigantine,90,US,1580954458,52,39.41,-74.36,279.15,4.1
312,pernik,90,BG,1580954459,92,42.6,23.03,272.15,0.5
313,altamira,86,BR,1580954172,98,-3.2,-52.21,295.96,1.45
314,bacong,86,BR,1580954172,98,-3.2,-52.21,295.96,1.45
315,bukama,100,CD,1580954460,99,-9.2,25.85,291.34,0.26
316,bridgewater,1,CA,1580954395,68,44.38,-64.52,268.15,2.4
317,valleyview,100,CA,1580954447,78,55.07,-117.29,273.56,5.14
318,hasaki,20,JP,1580954461,27,35.73,140.83,278.15,12.3
319,caravelas,100,BR,1580954461,84,-17.71,-39.25,299.86,4.34
320,saint anthony,1,US,1580954461,62,45.02,-93.22,267.15,1.5
321,broken hill,0,AU,1580954461,35,-31.95,141.43,302.15,3.1
322,piacabucu,99,BR,1580954462,85,-10.41,-36.43,298.96,2.87
323,kaitangata,90,NZ,1580954462,69,-46.28,169.85,285.78,10.23
324,kangaatsiaq,0,GL,1580954464,84,68.31,-53.46,260.79,0.79
325,san ramon,1,US,1580954380,66,37.78,-121.98,289.15,1.5
326,sivaki,100,RU,1580954464,90,52.63,126.75,253.69,3.37
327,gorin,67,RU,1580954465,93,51.2,136.67,252.46,2.03
328,angoche,0,MZ,1580954465,91,-16.23,39.91,296.21,1.73
329,seoul,1,KR,1580954224,44,37.57,126.98,266.15,1.5
330,najran,95,SA,1580954466,48,17.49,44.13,289.15,0.56
331,port hardy,90,CA,1580954466,100,50.7,-127.42,277.15,2.6
332,springbok,18,ZA,1580954467,78,-29.66,17.89,287.5,2.04
333,cidreira,8,BR,1580954467,87,-30.18,-50.21,297.89,9.48
334,bajil,61,YE,1580954467,80,15.06,43.29,294.52,0.9
335,sangar,51,RU,1580954468,95,63.92,127.47,234.62,0.49
336,bandarbeyla,72,SO,1580954468,71,9.49,50.81,297.85,8.45
337,kupang,20,ID,1580954463,70,-10.17,123.58,303.15,4.6
338,adre,75,TD,1580954469,21,13.47,22.2,289.44,3.78
339,lago da pedra,100,BR,1580954470,99,-4.33,-45.17,295.52,2.11
340,konstantinovka,100,RU,1580954471,76,49.62,127.98,254.0,6.94
341,rondonopolis,100,BR,1580954268,92,-16.47,-54.64,296.84,0.58
342,pandan,84,PH,1580954471,80,14.05,124.17,299.87,10.28
343,oshikango,0,NA,1580954472,83,-17.4,15.88,297.15,0.5
344,nantucket,90,US,1580954472,59,41.28,-70.1,276.48,3.6
345,harrai,100,IN,1580954472,58,22.62,79.22,290.5,2.06
346,morant bay,20,JM,1580954473,69,17.88,-76.41,300.15,10.8
347,naze,75,JP,1580954473,54,28.37,129.48,289.15,6.2
348,chemin grenier,40,MU,1580954474,83,-20.49,57.47,299.15,4.6
349,alofi,75,NU,1580954474,78,-19.06,-169.92,301.15,6.2
350,carnarvon,0,AU,1580954475,78,-24.87,113.63,300.15,7.2
351,luderitz,0,NA,1580954475,81,-26.65,15.16,291.2,10.76
352,quatre cocos,0,NA,1580954475,81,-26.65,15.16,291.2,10.76
353,raudeberg,100,NO,1580954476,93,61.99,5.14,280.15,5.1
354,pevek,100,NO,1580954476,93,61.99,5.14,280.15,5.1
355,abu dhabi,0,AE,1580954441,93,24.47,54.37,290.15,1.0
356,aksaray,75,TR,1580954478,61,38.37,34.03,281.15,3.6
357,malvern,90,US,1580954434,93,34.36,-92.81,279.26,2.1
358,cap-aux-meules,90,CA,1580954478,62,47.38,-61.86,267.15,11.8
359,semey,83,KZ,1580954479,78,50.41,80.23,264.15,3.0
360,putnok,0,HU,1580954479,64,48.3,20.43,269.64,1.81
